original_language,Film_ID,title,popularity
af,868,Tsotsi,2.504169
ar,159037,The Square,4.892203
cn,365222,Ip Man 3,19.167377
cs,12555,I Served the King of England,2.387463
da,9029,What Happens in Vegas,38.100487
de,582,The Lives of Others,34.938175
el,38810,Dogtooth,28.858238
en,211672,Minions,875.5813
es,1417,Pan's Labyrinth,90.80941
fa,60243,A Separation,12.049373
fr,194,Amélie,73.720245
he,8885,Waltz with Bashir,14.08251
hi,191714,The Lunchbox,14.017809
hu,41508,Fateless,1.906807
id,94329,The Raid,40.285095
is,217708,Of Horses and Men,1.617943
it,429,"The Good, the Bad and the Ugly",88.377075
ja,129,Spirited Away,118.96856
ko,110415,Snowpiercer,64.238686
ky,295914,Queen of the Mountains,0.077873
nb,46146,Troll Hunter,12.982319
nl,9075,Black Book,13.906611
no,14451,Dead Snow,11.205726
pl,209274,Ida,13.265432
ps,14757,Osama,1.447734
pt,598,City of God,44.356712
ro,2009,"4 Months, 3 Weeks and 2 Days",9.270133
ru,593,Solaris,24.13227
sl,385636,Juliet and Alfa Romeo,0.061248
sv,10238,Cries and Whispers,11.347855
ta,280871,Ramanujan,0.416179
te,256040,Baahubali: The Beginning,16.254032
th,8982,The Protector,11.81832
tr,11818,Valley of the Wolves: Iraq,1.465762
vi,25784,Journey from the Fall,0.072066
xx,62204,Quest for Fire,6.537986
zh,146,"Crouching Tiger, Hidden Dragon",45.742252
